2013
0.2056,0.3011,0.4026,0.4076,0.4573,0.4685,0.5000,0.5201,0.5669,0.5743,0.5854,0.6043,0.7485,0.8029,0.8792,1.0000,
0.1927,0.2844,0.3834,0.3883,0.4374,0.4485,0.4799,0.5000,0.5470,0.5545,0.5657,0.5849,0.7330,0.7899,0.8704,1.0000,
0.1651,0.2477,0.3399,0.3446,0.3917,0.4025,0.4331,0.4530,0.5000,0.5076,0.5190,0.5385,0.6946,0.7569,0.8476,1.0000,
0.1610,0.2421,0.3332,0.3378,0.3845,0.3953,0.4257,0.4455,0.4924,0.5000,0.5114,0.5310,0.6881,0.7513,0.8437,1.0000,
0.1549,0.2338,0.3231,0.3277,0.3737,0.3844,0.4146,0.4343,0.4810,0.4886,0.5000,0.5196,0.6782,0.7427,0.8376,1.0000,
0.1449,0.2200,0.3062,0.3106,0.3556,0.3660,0.3957,0.4151,0.4615,0.4690,0.4804,0.5000,0.6609,0.7274,0.8266,1.0000,
0.0800,0.1265,0.1847,0.1878,0.2207,0.2285,0.2515,0.2670,0.3054,0.3119,0.3218,0.3391,0.5000,0.5779,0.7098,1.0000,
0.0597,0.0956,0.1419,0.1445,0.1714,0.1779,0.1971,0.2101,0.2431,0.2487,0.2573,0.2726,0.4221,0.5000,0.6411,1.0000,
0.0343,0.0559,0.0847,0.0864,0.1037,0.1080,0.1208,0.1296,0.1524,0.1563,0.1624,0.1734,0.2902,0.3589,0.5000,1.0000,
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,
2017
0.5000,0.6071,0.7176,0.7318,0.7693,0.7678,0.7817,0.8130,0.8366,0.8248,0.8378,0.8580,0.9217,0.9379,0.9602,1.0000,
0.3929,0.5000,0.6219,0.6384,0.6833,0.6815,0.6985,0.7378,0.7681,0.7528,0.7697,0.7963,0.8840,0.9072,0.9398,1.0000,
0.2824,0.3781,0.5000,0.5178,0.5674,0.5654,0.5848,0.6311,0.6682,0.6494,0.6702,0.7039,0.8225,0.8560,0.9047,1.0000,
0.2682,0.3616,0.4822,0.5000,0.5499,0.5478,0.5675,0.6144,0.6523,0.6330,0.6543,0.6889,0.8119,0.8471,0.8984,1.0000,
0.2307,0.3167,0.4326,0.4501,0.5000,0.4979,0.5178,0.5660,0.6055,0.5853,0.6077,0.6444,0.7794,0.8193,0.8786,1.0000,
